timestamp,plant,production_line,machine_id,machine_type,status,uptime_seconds,total_runtime_hours,notes
2025-09-27 16:47:32,Plant A,Line 1,M03,Drill Press,Running,300,3612.83,
2025-09-27 16:47:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2144.82,
2025-09-27 16:47:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.06,
2025-09-27 16:47:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.44,
2025-09-27 16:47:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.7,
2025-09-27 16:47:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.37,
2025-09-27 16:47:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.23,
2025-09-27 16:47:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.38,
2025-09-27 16:47:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2225.93,
2025-09-27 16:47:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.37,
2025-09-27 16:47:32,Plant B,Line 1,M13,Drill Press,Running,300,2933.78,
2025-09-27 16:47:32,Plant B,Line 2,M14,CNC Mill,Running,300,3437.78,
2025-09-27 16:47:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.19,
2025-09-27 16:47:32,Plant B,Line 2,M16,CNC Mill,Running,300,4615.89,
2025-09-27 16:47:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.51,
2025-09-27 16:47:32,Plant B,Line 2,M18,CNC Mill,Running,300,3189.75,
2025-09-27 16:47:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2710.94,
2025-09-27 16:47:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3638.86,
2025-09-27 16:52:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.24,
2025-09-27 16:52:32,Plant A,Line 2,M02,Drill Press,Running,300,2498.84,
2025-09-27 16:52:32,Plant A,Line 1,M03,Drill Press,Running,300,3612.92,
2025-09-27 16:52:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2144.9,
2025-09-27 16:52:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.15,
2025-09-27 16:52:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.52,
2025-09-27 16:52:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.78,
2025-09-27 16:52:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.45,
2025-09-27 16:52:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.31,
2025-09-27 16:52:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.46,
2025-09-27 16:52:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.02,
2025-09-27 16:52:32,Plant B,Line 2,M12,Drill Press,Idle,0,3168.37,Idle
2025-09-27 16:52:32,Plant B,Line 1,M13,Drill Press,Running,300,2933.86,
2025-09-27 16:52:32,Plant B,Line 2,M14,CNC Mill,Running,300,3437.87,
2025-09-27 16:52:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.27,
2025-09-27 16:52:32,Plant B,Line 2,M16,CNC Mill,Down,0,4615.89,Unexpected stop
2025-09-27 16:52:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.6,
2025-09-27 16:52:32,Plant B,Line 2,M18,CNC Mill,Running,300,3189.84,
2025-09-27 16:52:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.02,
2025-09-27 16:52:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3638.94,
2025-09-27 16:57:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.32,
2025-09-27 16:57:32,Plant A,Line 2,M02,Drill Press,Running,300,2498.93,
2025-09-27 16:57:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.0,
2025-09-27 16:57:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2144.99,
2025-09-27 16:57:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.23,
2025-09-27 16:57:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.6,
2025-09-27 16:57:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.86,
2025-09-27 16:57:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.54,
2025-09-27 16:57:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.39,
2025-09-27 16:57:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.54,
2025-09-27 16:57:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.1,
2025-09-27 16:57:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.46,
2025-09-27 16:57:32,Plant B,Line 1,M13,Drill Press,Running,300,2933.94,
2025-09-27 16:57:32,Plant B,Line 2,M14,CNC Mill,Running,300,3437.95,
2025-09-27 16:57:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.36,
2025-09-27 16:57:32,Plant B,Line 2,M16,CNC Mill,Running,300,4615.97,
2025-09-27 16:57:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.68,
2025-09-27 16:57:32,Plant B,Line 2,M18,CNC Mill,Running,300,3189.92,
2025-09-27 16:57:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.1,
2025-09-27 16:57:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.03,
2025-09-27 17:02:32,Plant A,Line 1,M01,Laser Cutter,Down,0,1417.32,Unexpected stop
2025-09-27 17:02:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.01,
2025-09-27 17:02:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.08,
2025-09-27 17:02:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.07,
2025-09-27 17:02:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.31,
2025-09-27 17:02:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.69,
2025-09-27 17:02:32,Plant A,Line 1,M07,Laser Cutter,Idle,0,3132.86,Idle
2025-09-27 17:02:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.62,
2025-09-27 17:02:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.48,
2025-09-27 17:02:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.63,
2025-09-27 17:02:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.18,
2025-09-27 17:02:32,Plant B,Line 2,M12,Drill Press,Down,0,3168.46,Unexpected stop
2025-09-27 17:02:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.03,
2025-09-27 17:02:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.03,
2025-09-27 17:02:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.44,
2025-09-27 17:02:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.06,
2025-09-27 17:02:32,Plant B,Line 1,M17,Drill Press,Down,0,4590.68,Unexpected stop
2025-09-27 17:02:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.0,
2025-09-27 17:02:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.19,
2025-09-27 17:02:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.11,
2025-09-27 17:07:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.4,
2025-09-27 17:07:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.09,
2025-09-27 17:07:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.17,
2025-09-27 17:07:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.15,
2025-09-27 17:07:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.4,
2025-09-27 17:07:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.77,
2025-09-27 17:07:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3132.95,
2025-09-27 17:07:32,Plant A,Line 2,M08,Robotic Arm,Idle,0,4197.62,Idle
2025-09-27 17:07:32,Plant A,Line 1,M09,Laser Cutter,Down,0,1212.48,Unexpected stop
2025-09-27 17:07:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.71,
2025-09-27 17:07:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.27,
2025-09-27 17:07:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.54,
2025-09-27 17:07:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.11,
2025-09-27 17:07:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.12,
2025-09-27 17:07:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.52,
2025-09-27 17:07:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.14,
2025-09-27 17:07:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.76,
2025-09-27 17:07:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.09,
2025-09-27 17:07:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.27,
2025-09-27 17:07:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.19,
2025-09-27 17:12:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.49,
2025-09-27 17:12:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.18,
2025-09-27 17:12:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.25,
2025-09-27 17:12:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.24,
2025-09-27 17:12:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.48,
2025-09-27 17:12:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.85,
2025-09-27 17:12:32,Plant A,Line 1,M07,Laser Cutter,Idle,0,3132.95,Idle
2025-09-27 17:12:32,Plant A,Line 2,M08,Robotic Arm,Down,0,4197.62,Unexpected stop
2025-09-27 17:12:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.56,
2025-09-27 17:12:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.79,
2025-09-27 17:12:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.35,
2025-09-27 17:12:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.62,
2025-09-27 17:12:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.19,
2025-09-27 17:12:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.2,
2025-09-27 17:12:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.61,
2025-09-27 17:12:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.22,
2025-09-27 17:12:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.85,
2025-09-27 17:12:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.17,
2025-09-27 17:12:32,Plant B,Line 1,M19,Laser Cutter,Down,0,2711.27,Unexpected stop
2025-09-27 17:12:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.28,
2025-09-27 17:17:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.57,
2025-09-27 17:17:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.26,
2025-09-27 17:17:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.33,
2025-09-27 17:17:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.32,
2025-09-27 17:17:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.56,
2025-09-27 17:17:32,Plant A,Line 2,M06,Drill Press,Running,300,4375.94,
2025-09-27 17:17:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.03,
2025-09-27 17:17:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.7,
2025-09-27 17:17:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.64,
2025-09-27 17:17:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.88,
2025-09-27 17:17:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.43,
2025-09-27 17:17:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.71,
2025-09-27 17:17:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.28,
2025-09-27 17:17:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.28,
2025-09-27 17:17:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.69,
2025-09-27 17:17:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.31,
2025-09-27 17:17:32,Plant B,Line 1,M17,Drill Press,Running,300,4590.93,
2025-09-27 17:17:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.25,
2025-09-27 17:17:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.35,
2025-09-27 17:17:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.36,
2025-09-27 17:22:32,Plant A,Line 1,M01,Laser Cutter,Idle,0,1417.57,Idle
2025-09-27 17:22:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.34,
2025-09-27 17:22:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.42,
2025-09-27 17:22:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.4,
2025-09-27 17:22:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.65,
2025-09-27 17:22:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.02,
2025-09-27 17:22:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.11,
2025-09-27 17:22:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.79,
2025-09-27 17:22:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.73,
2025-09-27 17:22:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3198.96,
2025-09-27 17:22:32,Plant B,Line 1,M11,Robotic Arm,Idle,0,2226.43,Idle
2025-09-27 17:22:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.79,
2025-09-27 17:22:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.36,
2025-09-27 17:22:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.37,
2025-09-27 17:22:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.77,
2025-09-27 17:22:32,Plant B,Line 2,M16,CNC Mill,Idle,0,4616.31,Idle
2025-09-27 17:22:32,Plant B,Line 1,M17,Drill Press,Running,300,4591.01,
2025-09-27 17:22:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.34,
2025-09-27 17:22:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.44,
2025-09-27 17:22:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.44,
2025-09-27 17:27:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.65,
2025-09-27 17:27:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.43,
2025-09-27 17:27:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.5,
2025-09-27 17:27:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.49,
2025-09-27 17:27:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.73,
2025-09-27 17:27:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.1,
2025-09-27 17:27:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.2,
2025-09-27 17:27:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.87,
2025-09-27 17:27:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.81,
2025-09-27 17:27:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.04,
2025-09-27 17:27:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.52,
2025-09-27 17:27:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.87,
2025-09-27 17:27:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.44,
2025-09-27 17:27:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.45,
2025-09-27 17:27:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.86,
2025-09-27 17:27:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.39,
2025-09-27 17:27:32,Plant B,Line 1,M17,Drill Press,Down,0,4591.01,Unexpected stop
2025-09-27 17:27:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.42,
2025-09-27 17:27:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.52,
2025-09-27 17:27:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.53,
2025-09-27 17:32:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.74,
2025-09-27 17:32:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.51,
2025-09-27 17:32:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.58,
2025-09-27 17:32:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.57,
2025-09-27 17:32:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.81,
2025-09-27 17:32:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.19,
2025-09-27 17:32:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.28,
2025-09-27 17:32:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4197.95,
2025-09-27 17:32:32,Plant A,Line 1,M09,Laser Cutter,Idle,0,1212.81,Idle
2025-09-27 17:32:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.13,
2025-09-27 17:32:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.6,
2025-09-27 17:32:32,Plant B,Line 2,M12,Drill Press,Running,300,3168.96,
2025-09-27 17:32:32,Plant B,Line 1,M13,Drill Press,Down,0,2934.44,Unexpected stop
2025-09-27 17:32:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.53,
2025-09-27 17:32:32,Plant B,Line 1,M15,CNC Mill,Running,300,1729.94,
2025-09-27 17:32:32,Plant B,Line 2,M16,CNC Mill,Idle,0,4616.39,Idle
2025-09-27 17:32:32,Plant B,Line 1,M17,Drill Press,Running,300,4591.1,
2025-09-27 17:32:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.5,
2025-09-27 17:32:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.6,
2025-09-27 17:32:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.61,
2025-09-27 17:37:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.82,
2025-09-27 17:37:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.59,
2025-09-27 17:37:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.67,
2025-09-27 17:37:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.65,
2025-09-27 17:37:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.9,
2025-09-27 17:37:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.27,
2025-09-27 17:37:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.36,
2025-09-27 17:37:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4198.04,
2025-09-27 17:37:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.89,
2025-09-27 17:37:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.21,
2025-09-27 17:37:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.68,
2025-09-27 17:37:32,Plant B,Line 2,M12,Drill Press,Running,300,3169.04,
2025-09-27 17:37:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.53,
2025-09-27 17:37:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.62,
2025-09-27 17:37:32,Plant B,Line 1,M15,CNC Mill,Running,300,1730.02,
2025-09-27 17:37:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.47,
2025-09-27 17:37:32,Plant B,Line 1,M17,Drill Press,Running,300,4591.18,
2025-09-27 17:37:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.59,
2025-09-27 17:37:32,Plant B,Line 1,M19,Laser Cutter,Running,300,2711.69,
2025-09-27 17:37:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.69,
2025-09-27 17:42:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.9,
2025-09-27 17:42:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.68,
2025-09-27 17:42:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.75,
2025-09-27 17:42:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.74,
2025-09-27 17:42:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2812.98,
2025-09-27 17:42:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.35,
2025-09-27 17:42:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.45,
2025-09-27 17:42:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4198.12,
2025-09-27 17:42:32,Plant A,Line 1,M09,Laser Cutter,Down,0,1212.89,Unexpected stop
2025-09-27 17:42:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.29,
2025-09-27 17:42:32,Plant B,Line 1,M11,Robotic Arm,Running,300,2226.77,
2025-09-27 17:42:32,Plant B,Line 2,M12,Drill Press,Running,300,3169.12,
2025-09-27 17:42:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.61,
2025-09-27 17:42:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.7,
2025-09-27 17:42:32,Plant B,Line 1,M15,CNC Mill,Down,0,1730.02,Unexpected stop
2025-09-27 17:42:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.56,
2025-09-27 17:42:32,Plant B,Line 1,M17,Drill Press,Running,300,4591.26,
2025-09-27 17:42:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.67,
2025-09-27 17:42:32,Plant B,Line 1,M19,Laser Cutter,Idle,0,2711.69,Idle
2025-09-27 17:42:32,Plant B,Line 2,M20,Laser Cutter,Running,300,3639.78,
2025-09-27 17:47:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1417.99,
2025-09-27 17:47:32,Plant A,Line 2,M02,Drill Press,Idle,0,2499.68,Idle
2025-09-27 17:47:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.83,
2025-09-27 17:47:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.82,
2025-09-27 17:47:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2813.06,
2025-09-27 17:47:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.44,
2025-09-27 17:47:32,Plant A,Line 1,M07,Laser Cutter,Running,300,3133.53,
2025-09-27 17:47:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4198.2,
2025-09-27 17:47:32,Plant A,Line 1,M09,Laser Cutter,Running,300,1212.98,
2025-09-27 17:47:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.38,
2025-09-27 17:47:32,Plant B,Line 1,M11,Robotic Arm,Idle,0,2226.77,Idle
2025-09-27 17:47:32,Plant B,Line 2,M12,Drill Press,Running,300,3169.21,
2025-09-27 17:47:32,Plant B,Line 1,M13,Drill Press,Running,300,2934.69,
2025-09-27 17:47:32,Plant B,Line 2,M14,CNC Mill,Running,300,3438.78,
2025-09-27 17:47:32,Plant B,Line 1,M15,CNC Mill,Running,300,1730.11,
2025-09-27 17:47:32,Plant B,Line 2,M16,CNC Mill,Running,300,4616.64,
2025-09-27 17:47:32,Plant B,Line 1,M17,Drill Press,Running,300,4591.35,
2025-09-27 17:47:32,Plant B,Line 2,M18,CNC Mill,Running,300,3190.75,
2025-09-27 17:47:32,Plant B,Line 1,M19,Laser Cutter,Down,0,2711.69,Unexpected stop
2025-09-27 17:47:32,Plant B,Line 2,M20,Laser Cutter,Idle,0,3639.78,Idle
2025-09-27 17:52:32,Plant A,Line 1,M01,Laser Cutter,Running,300,1418.07,
2025-09-27 17:52:32,Plant A,Line 2,M02,Drill Press,Running,300,2499.76,
2025-09-27 17:52:32,Plant A,Line 1,M03,Drill Press,Running,300,3613.92,
2025-09-27 17:52:32,Plant A,Line 2,M04,CNC Lathe,Running,300,2145.9,
2025-09-27 17:52:32,Plant A,Line 1,M05,Robotic Arm,Running,300,2813.15,
2025-09-27 17:52:32,Plant A,Line 2,M06,Drill Press,Running,300,4376.52,
2025-09-27 17:52:32,Plant A,Line 1,M07,Laser Cutter,Down,0,3133.53,Unexpected stop
2025-09-27 17:52:32,Plant A,Line 2,M08,Robotic Arm,Running,300,4198.29,
2025-09-27 17:52:32,Plant A,Line 1,M09,Laser Cutter,Idle,0,1212.98,Idle
2025-09-27 17:52:32,Plant A,Line 2,M10,CNC Lathe,Running,300,3199.46,
